,0
157,"학교 선생님들이 많이들 추천할거에요 왜냐? 선생님들은 애들이 어디갔는지가 중요하지 않고, 갔는지 못 갔는지만 중요하거든요. 가천대 생각중이라면 조금만 더 고민해 보셨으면 좋겠습니다"
158,"아 진짜 너무좋음 진짜로 자신이 열심히만 하면 어디서든 꿀리지 않을 대학, 가천대로 오라! 요새 입결 아웃풋 떡상중이고 단 한번도 가천대생으로서의 자존감을 잃어버린적이 없음"
159,위에랑 동일함. 암튼 정말로 좋고 뛰어난 학우분들도 넘쳐나고 나는 아주 대만족하면서 다니고 있다
160,"시설은 좋음 분위기 ㄱㅊ, 장학금 잘 주는 편"
161,문과가 그렇지...뭐 그럭저럭 만족하며 공부하고 있어요
162,그냥 인서울 애매한 수도권 4년제 대학임.
163,적성 맞으면 배울만함. 교수진도 괜찮고 뭐 나쁘진 않은듯..
164,
165,
166,
167,
168,홈피 잘 찾아보면 주워먹을수있는 크고작은 장학금제도가 많음. 시설 깔끔 내년부터 AI관 쓸수있는데 기공과용은 아닌듯. 건물은 남은땅에 계속 짓고있음. 강남이랑가깝고 학교에 바로 지하철역있어서좋음.
169,국가사업같은거 잘따오고 재정적인 지원 많이받음. 개인플할수있음. 학과 커리큘럼 다양한 분야로 잘짜놓음. 복전이나 부전공 전과 쉽게할수있음. 수강신청잘해서 꿀교양들으면 팀플이나 귀찮은과제 안해도됨
170,"뭔가 인싸는 더 인싸되고 아싸는 아싸되는 느낌이에요. 사실 수능보고 오면 자괴감 오집니다.. 가천대식으로 높게 평가되어 실제 내신이 3.0인 학생도 가천대식으로 하면 2.5 2.6 이런식으로 높아지거든요. 특히 적성으로는 내신 4,5에다가 그냥 적성때 문제만풀고 합격한 경우도 많습니다. 이런걸 보면 정말 느낌이 애매해집니다. 누군가는 열심히 하고왔지만 누군가는 대충 공부해서 그냥 온 학생들도 있는 느낌.. 애매하게 공부하지 마시고 불태워 공부해서 sky가세요...."
171,여자가 90퍼정도 되서 여초현상이 심하긴 하지만 그래도 화목합니다.
172,"아직 대면 수업은 많이 안 해봤지만 등록금이 아깝지 않을 정도로 학교에서 뭘 많이 합니다! 교내 공모전 프로그램도 잘 되어 있어서 알바 안 해도 돈 벌 수 있어용 완전 꿀b 하와이에 가천대 캠퍼스가 있어서 하와이에서 수업 들을 수도 있고, 교환 학생 제도도 잘 되어 있어서 학교 등록금으로 해외 대학 다닐 수 있습니당 국가에 따라서 등록금 반액을 장학금으로 주는 경우도 있어여. 전과는 선배님들 말 들어보니까 쉽다고 하네여. 학교 시설은 완전 좋은 듯. 통유리 건물 볼 때마다 가슴이 웅장해집니다. 교내 순환 버스도 있는데 놀이동산 온 기분이에여. 넘나 재미있음. 취업 지원도 매번 강연 같은거 하면서 해주는 것 같고, 음.. 여튼 저는 만족하면서 다니고 있습니당"
173,장점 : 컴공과다보니 학점에 대한 스트레스에서 자유로운 느낌ㅎㅎ. 하고 싶은 공부를 해도 취업과 바로 연관되어 있어서 좋아용. 그리고 선배님들이 은근히 친절하십니당. 코로나이다 보니까 에타에 질문 받는다고 글 올리신 뒤에 얼굴 한 번 보지 않은 새내기들 학교 질문들 다 받아주시고 응원해주시고 하셨네용ㅎ. 은근한 감동 모먼트. 단점 : 걸러야 하는 교수님이 몇 분 계십니다..ㅎㅎ.. 근데 그런 교수님들은 입학하면 에타에 선배들이 알려줄거에여 걱정 노노. 아 그리고 개인 노트북이 필요해요! 학교에서 지원금 주기는 하는데 그래도 학생이 돈 써야 하는건 맞으니까..ㅠ 그리고 컴공과 등록금 비싸여... 공대 등록금.. 쥬륵... 그리고 코딩 못 하면 취업 안 된다는게... 학벌이 의미 없는 느낌..ㅠ 취업 때문에 컴공과 오시려는거면 등록금 저렴한 국립대 들가시는걸 추천드립니당 근데 컴퓨터 좋아해서 오시려는 거면 가천대 추천이에요 학교 위치라던지 학과 분위기라던지 확실히 등록금 비싼 만큼 만족하고 있어요ㅎㅎ
174,"아 진짜 너무좋음 진짜로 자신이 열심히만 하면 어디서든 꿀리지 않을 대학, 가천대로 오라! 요새 입결 아웃풋 떡상중이고 단 한번도 가천대생으로서의 자존감을 잃어버린적이 없음"
175,위에랑 동일함. 암튼 정말로 좋고 뛰어난 학우분들도 넘쳐나고 나는 아주 대만족하면서 다니고 있다
176,"시설은 좋음 분위기 ㄱㅊ, 장학금 잘 주는 편"
177,문과가 그렇지...뭐 그럭저럭 만족하며 공부하고 있어요
178,그냥 인서울 애매한 수도권 4년제 대학임.
179,적성 맞으면 배울만함. 교수진도 괜찮고 뭐 나쁘진 않은듯..
180,학교가 점점 발전 하는게 느껴지는 것 같다. 건물도 많이 짓고 국가에서 하는 사업도 잘 선정된다. 아웃풋도 꾸준히 올라가고 있다.
181,교수진들이 정말 좋다. 그리고 학교에서 우리 과를 좀 더 많이 밀어주려고 하는 것 같다. 학과 분위기는 코로나라 잘 모르겠다....
182,
183,
184,홈피 잘 찾아보면 주워먹을수있는 크고작은 장학금제도가 많음. 시설 깔끔 내년부터 AI관 쓸수있는데 기공과용은 아닌듯. 건물은 남은땅에 계속 짓고있음. 강남이랑가깝고 학교에 바로 지하철역있어서좋음.
185,국가사업같은거 잘따오고 재정적인 지원 많이받음. 개인플할수있음. 학과 커리큘럼 다양한 분야로 잘짜놓음. 복전이나 부전공 전과 쉽게할수있음. 수강신청잘해서 꿀교양들으면 팀플이나 귀찮은과제 안해도됨
186,"뭔가 인싸는 더 인싸되고 아싸는 아싸되는 느낌이에요. 사실 수능보고 오면 자괴감 오집니다.. 가천대식으로 높게 평가되어 실제 내신이 3.0인 학생도 가천대식으로 하면 2.5 2.6 이런식으로 높아지거든요. 특히 적성으로는 내신 4,5에다가 그냥 적성때 문제만풀고 합격한 경우도 많습니다. 이런걸 보면 정말 느낌이 애매해집니다. 누군가는 열심히 하고왔지만 누군가는 대충 공부해서 그냥 온 학생들도 있는 느낌.. 애매하게 공부하지 마시고 불태워 공부해서 sky가세요...."
187,여자가 90퍼정도 되서 여초현상이 심하긴 하지만 그래도 화목합니다.
188,"아직 대면 수업은 많이 안 해봤지만 등록금이 아깝지 않을 정도로 학교에서 뭘 많이 합니다! 교내 공모전 프로그램도 잘 되어 있어서 알바 안 해도 돈 벌 수 있어용 완전 꿀b 하와이에 가천대 캠퍼스가 있어서 하와이에서 수업 들을 수도 있고, 교환 학생 제도도 잘 되어 있어서 학교 등록금으로 해외 대학 다닐 수 있습니당 국가에 따라서 등록금 반액을 장학금으로 주는 경우도 있어여. 전과는 선배님들 말 들어보니까 쉽다고 하네여. 학교 시설은 완전 좋은 듯. 통유리 건물 볼 때마다 가슴이 웅장해집니다. 교내 순환 버스도 있는데 놀이동산 온 기분이에여. 넘나 재미있음. 취업 지원도 매번 강연 같은거 하면서 해주는 것 같고, 음.. 여튼 저는 만족하면서 다니고 있습니당"
189,장점 : 컴공과다보니 학점에 대한 스트레스에서 자유로운 느낌ㅎㅎ. 하고 싶은 공부를 해도 취업과 바로 연관되어 있어서 좋아용. 그리고 선배님들이 은근히 친절하십니당. 코로나이다 보니까 에타에 질문 받는다고 글 올리신 뒤에 얼굴 한 번 보지 않은 새내기들 학교 질문들 다 받아주시고 응원해주시고 하셨네용ㅎ. 은근한 감동 모먼트. 단점 : 걸러야 하는 교수님이 몇 분 계십니다..ㅎㅎ.. 근데 그런 교수님들은 입학하면 에타에 선배들이 알려줄거에여 걱정 노노. 아 그리고 개인 노트북이 필요해요! 학교에서 지원금 주기는 하는데 그래도 학생이 돈 써야 하는건 맞으니까..ㅠ 그리고 컴공과 등록금 비싸여... 공대 등록금.. 쥬륵... 그리고 코딩 못 하면 취업 안 된다는게... 학벌이 의미 없는 느낌..ㅠ 취업 때문에 컴공과 오시려는거면 등록금 저렴한 국립대 들가시는걸 추천드립니당 근데 컴퓨터 좋아해서 오시려는 거면 가천대 추천이에요 학교 위치라던지 학과 분위기라던지 확실히 등록금 비싼 만큼 만족하고 있어요ㅎㅎ
190,학교가 돈이 많다보니까 학교가 크고 좋아요 학교프로그램도 많아서 좋고요 학교 프로그램하면서 용돈벌이도 하기 좋아요!
191,여초라서 노잼이에요..(근데 이건 식영과 말고 다른 여초과도 그럴거이요) 과cc를 하고 싶어도 남자가 없어서 못합니다. 캠퍼스 낭만을 꿈꾸시면 과씨씨말고 다른학과생랑 씨씨하세요. 코로나때문에 다 비대면이라서 선후배관계가 돈독하기보다는 개인주의가 강합니다. 학점은 노력한만큼 제대로 나오니까 열심히 하는게 중요합니다
192,"재단은 빵빵하다곤 함. 본인이 인서울 갈랑말랑 한 성적이라면 여기 써봐도 나쁘지 않을듯. 근데 코로나 사태에 있어서 학생들에게 별 도움이 되지 않거나, 오히려 알 권리를 보장하지 않거나...좀 행정처리에 문제가 많았음. 이 점만 빼면 뭐 못다닐 학교는 아님"
193,"적성에 맞으면 다행이지만 안 맞으면 밑도끝도 없는 학과. 보통 자신의 진로에 대한 확고함을 가진 학생 흔치 않잖아요? 대부분 성적 맞춰 오거나 학과에 대해 잘 모른채 많이들 오죠? 그렇다면 일단 건축 계열 쪽은 거르세요. 일반 학과는 과가 마음에 안들어도 시험이 중요하니까 공부만 하면 따라는 갈수 있지만,이 바닥은 다릅니다. 과장 조금 보태자면 놀면서도, 밥먹으면서도, 샤워하면서도 건축에 대한 고민을 하는걸 요구합니다. 아이디어 자체가 안 떠오르면 그냥 답이 없어요. 적성에 안맞으면 이바닥에선 큰일납니다.....어느 정도냐면, 건축 쪽에 애정이 있는 사람한텐 미안한 표현이지만, 정신병 걸릴 것 같은 기분이 매일매일 들겁니다. 관련 업계에 취업해도 일이 상당히 힘들어서, 어지간한 애정이 없는 이상 버티기 어려울 겁니다.탈건이란 말이 괜히 있는게 아닙니다... 이쪽에 확고한 의지, 관심이 있으면 오세요. 마음에 드실겁니다. 다만, 이 분야에 대한 적성이 있는지 없는지 모르겠다? 돌아가세요"
194,그냥 인서울 애매한 수도권 4년제 대학임.
195,적성 맞으면 배울만함. 교수진도 괜찮고 뭐 나쁘진 않은듯..
196,학교가 점점 발전 하는게 느껴지는 것 같다. 건물도 많이 짓고 국가에서 하는 사업도 잘 선정된다. 아웃풋도 꾸준히 올라가고 있다.
197,교수진들이 정말 좋다. 그리고 학교에서 우리 과를 좀 더 많이 밀어주려고 하는 것 같다. 학과 분위기는 코로나라 잘 모르겠다....
198,
199,
200,
201,
202,"뭔가 인싸는 더 인싸되고 아싸는 아싸되는 느낌이에요. 사실 수능보고 오면 자괴감 오집니다.. 가천대식으로 높게 평가되어 실제 내신이 3.0인 학생도 가천대식으로 하면 2.5 2.6 이런식으로 높아지거든요. 특히 적성으로는 내신 4,5에다가 그냥 적성때 문제만풀고 합격한 경우도 많습니다. 이런걸 보면 정말 느낌이 애매해집니다. 누군가는 열심히 하고왔지만 누군가는 대충 공부해서 그냥 온 학생들도 있는 느낌.. 애매하게 공부하지 마시고 불태워 공부해서 sky가세요...."
203,여자가 90퍼정도 되서 여초현상이 심하긴 하지만 그래도 화목합니다.
204,"아직 대면 수업은 많이 안 해봤지만 등록금이 아깝지 않을 정도로 학교에서 뭘 많이 합니다! 교내 공모전 프로그램도 잘 되어 있어서 알바 안 해도 돈 벌 수 있어용 완전 꿀b 하와이에 가천대 캠퍼스가 있어서 하와이에서 수업 들을 수도 있고, 교환 학생 제도도 잘 되어 있어서 학교 등록금으로 해외 대학 다닐 수 있습니당 국가에 따라서 등록금 반액을 장학금으로 주는 경우도 있어여. 전과는 선배님들 말 들어보니까 쉽다고 하네여. 학교 시설은 완전 좋은 듯. 통유리 건물 볼 때마다 가슴이 웅장해집니다. 교내 순환 버스도 있는데 놀이동산 온 기분이에여. 넘나 재미있음. 취업 지원도 매번 강연 같은거 하면서 해주는 것 같고, 음.. 여튼 저는 만족하면서 다니고 있습니당"
205,장점 : 컴공과다보니 학점에 대한 스트레스에서 자유로운 느낌ㅎㅎ. 하고 싶은 공부를 해도 취업과 바로 연관되어 있어서 좋아용. 그리고 선배님들이 은근히 친절하십니당. 코로나이다 보니까 에타에 질문 받는다고 글 올리신 뒤에 얼굴 한 번 보지 않은 새내기들 학교 질문들 다 받아주시고 응원해주시고 하셨네용ㅎ. 은근한 감동 모먼트. 단점 : 걸러야 하는 교수님이 몇 분 계십니다..ㅎㅎ.. 근데 그런 교수님들은 입학하면 에타에 선배들이 알려줄거에여 걱정 노노. 아 그리고 개인 노트북이 필요해요! 학교에서 지원금 주기는 하는데 그래도 학생이 돈 써야 하는건 맞으니까..ㅠ 그리고 컴공과 등록금 비싸여... 공대 등록금.. 쥬륵... 그리고 코딩 못 하면 취업 안 된다는게... 학벌이 의미 없는 느낌..ㅠ 취업 때문에 컴공과 오시려는거면 등록금 저렴한 국립대 들가시는걸 추천드립니당 근데 컴퓨터 좋아해서 오시려는 거면 가천대 추천이에요 학교 위치라던지 학과 분위기라던지 확실히 등록금 비싼 만큼 만족하고 있어요ㅎㅎ
206,학교가 돈이 많다보니까 학교가 크고 좋아요 학교프로그램도 많아서 좋고요 학교 프로그램하면서 용돈벌이도 하기 좋아요!
207,여초라서 노잼이에요..(근데 이건 식영과 말고 다른 여초과도 그럴거이요) 과cc를 하고 싶어도 남자가 없어서 못합니다. 캠퍼스 낭만을 꿈꾸시면 과씨씨말고 다른학과생랑 씨씨하세요. 코로나때문에 다 비대면이라서 선후배관계가 돈독하기보다는 개인주의가 강합니다. 학점은 노력한만큼 제대로 나오니까 열심히 하는게 중요합니다
208,"재단은 빵빵하다곤 함. 본인이 인서울 갈랑말랑 한 성적이라면 여기 써봐도 나쁘지 않을듯. 근데 코로나 사태에 있어서 학생들에게 별 도움이 되지 않거나, 오히려 알 권리를 보장하지 않거나...좀 행정처리에 문제가 많았음. 이 점만 빼면 뭐 못다닐 학교는 아님"
209,"적성에 맞으면 다행이지만 안 맞으면 밑도끝도 없는 학과. 보통 자신의 진로에 대한 확고함을 가진 학생 흔치 않잖아요? 대부분 성적 맞춰 오거나 학과에 대해 잘 모른채 많이들 오죠? 그렇다면 일단 건축 계열 쪽은 거르세요. 일반 학과는 과가 마음에 안들어도 시험이 중요하니까 공부만 하면 따라는 갈수 있지만,이 바닥은 다릅니다. 과장 조금 보태자면 놀면서도, 밥먹으면서도, 샤워하면서도 건축에 대한 고민을 하는걸 요구합니다. 아이디어 자체가 안 떠오르면 그냥 답이 없어요. 적성에 안맞으면 이바닥에선 큰일납니다.....어느 정도냐면, 건축 쪽에 애정이 있는 사람한텐 미안한 표현이지만, 정신병 걸릴 것 같은 기분이 매일매일 들겁니다. 관련 업계에 취업해도 일이 상당히 힘들어서, 어지간한 애정이 없는 이상 버티기 어려울 겁니다.탈건이란 말이 괜히 있는게 아닙니다... 이쪽에 확고한 의지, 관심이 있으면 오세요. 마음에 드실겁니다. 다만, 이 분야에 대한 적성이 있는지 없는지 모르겠다? 돌아가세요"
210,1.학교 시설 언덕없음 지하철 가까움 2.아웃풋 솔직히 인풋>아웃풋이긴함 3. 교환 하와이 보내줌 4. 장학금 본인이 찾으면 여러가지로 장학금 길 있음 5. 전과 쉬움
211,솔직히 걱정됨 뭘 먹고 살아야하나 ㅋㅋㅋㅋㅋ 그치만 배우고 싶었던 분야라 배운다
212,단점 1. 교수님들 학벌이 다른학교에 비해 낮음-경원대시절교수님들 생각보다 많이 계심. 2. 주변에 반수나 편입준비하는 친구들이 많음-갑자기 애들 사라짐. 3. 자기 학교를 얘기하거나 자랑하지 않음- 특수학과빼고 학교에 대한 애교심이 없다. 장점 1. 학교에 돈이 많다. 2. 캠퍼스 앞쪽은 시설 좋은데 뒷쪽은 안좋다. 3. 유튜버 잼일이가 있다. 학교가 애매해서 반수나 편입하는 친구들이 많음 그냥 공부 열심히해서 조금 더 높은 대학 가는거 추천
213,교수님들이 못가르치기 때문에 배울게 없음. 수업을 들어도 남는게 없는 강의. 그냥 오지마삼;; 나이 많으신 교수님들이 많고 실제로 아무도 수업 안듣고 독학으로 공부하는 강좌도 있음-충격받음. 학생회아니면 선후배간의 교류도 딱히없고 애들이 공부안해서 학점따긴 쉬움 취업률은 모르겠고 개척해가기 나름인듯
214,
215,
216,
217,
218,"글로벌캠퍼스라 그런지 시설이 좋다. 예대나 공대는 시설이 안좋다고 하는데 난 심리여서 그런데 별로 안쓰니 뭐... 캠퍼스 내에 있는 다양한 식당도 대부분 맛있고, 특히 올리브영이 있어서 좀 놀랐다. 장학금은 퍼준다는거에 일부 동의한다. 비교과 프로그램이 많아서, 자기가 조금만 신경쓰고 열심히 하면 많이 가져갈 듯 하다. 학교에 군기는 거의 없다. 군기 잡는게 에타에 올라오면 완전히 뒤집어져서, 군기에 대해 어떻게 생각하는지 보인다. 복수 전공은 졸업에 필수 요건이다. 복수 전공, 부전공, 융합 전공, 전공 심화 중 하나를 선택해서 완료해야 졸업이 가능하다. 지잡이냐 아니냐 가끔씩 토론이 열리지만, 내 생각에는 용의 꼬리 정도는 되는 것 같다. 3~4등급 학생들이 많이 생각하고 지원하지만, 그 중에서 뽑히는 사람이 많지 않다고 대개 들었다. 아웃풋이니 뭐니 하는 것은 졸업 후 자기가 하기 나름이라고 생각한다. 그리고 나는 가천대생이라는게 자랑스럽고, 내 학교가 어디냐 물으면 가천대학교라고 자랑스럽게 말할 수 있다."
219,"신설학과여서 뭔가 불안정한 모습이었다. 학기 초에는 단과대 학생회 빼고 아무도 도와주지도 않았었다. 교수님은 좋다. 아직 두 분밖에 없지만...한 분은 아직 만나지도 못했다. 학과 분위기는 개인적으로 단합도가 낮다고 생각한다. 안그래도 신설인데, 코로나로 비대면까지 겹쳤으니 단합도가 올라갈 수 없었다고 생각한다. 또 신설이여서 20학번은 선배가 없고, 똥군기는 커녕 군기를 경험한 적이 없다. 확신할 수는 없지만, 나는 동기들이 똥군기를 잡지 않을 것이라고 생각한다."
220,저는 학교가 굉장히 마음에 들었어요. 학교 걸어다니는 학생들 분위기만 봐도 어떤 학교인지 보인다고 하는데 대부분 깔끔하고 예의바른 학생들이에요. 시설도 좋고요. 다만 예대는 건물이 좋진 않네요.
221,저는 코로나 학번이였는데 교수님들께서 개개인 학생들에게 열정과 애정을 쏟아주시면서 가르쳐주세요! 회화과 선배님들도 유명하신분들 많구요. 가만히 과실에서 그림그릴 수 있는것도 좋고 여러모로 만족스러운 1학년이였습니다. 근데 생각보다 미술을 하려고 하는 학생들만 있는건 아니고요 졸업장 얻으려고 학교 다니는
222,학교가 돈이 많다보니까 학교가 크고 좋아요 학교프로그램도 많아서 좋고요 학교 프로그램하면서 용돈벌이도 하기 좋아요!
223,여초라서 노잼이에요..(근데 이건 식영과 말고 다른 여초과도 그럴거이요) 과cc를 하고 싶어도 남자가 없어서 못합니다. 캠퍼스 낭만을 꿈꾸시면 과씨씨말고 다른학과생랑 씨씨하세요. 코로나때문에 다 비대면이라서 선후배관계가 돈독하기보다는 개인주의가 강합니다. 학점은 노력한만큼 제대로 나오니까 열심히 하는게 중요합니다
224,"재단은 빵빵하다곤 함. 본인이 인서울 갈랑말랑 한 성적이라면 여기 써봐도 나쁘지 않을듯. 근데 코로나 사태에 있어서 학생들에게 별 도움이 되지 않거나, 오히려 알 권리를 보장하지 않거나...좀 행정처리에 문제가 많았음. 이 점만 빼면 뭐 못다닐 학교는 아님"
225,"적성에 맞으면 다행이지만 안 맞으면 밑도끝도 없는 학과. 보통 자신의 진로에 대한 확고함을 가진 학생 흔치 않잖아요? 대부분 성적 맞춰 오거나 학과에 대해 잘 모른채 많이들 오죠? 그렇다면 일단 건축 계열 쪽은 거르세요. 일반 학과는 과가 마음에 안들어도 시험이 중요하니까 공부만 하면 따라는 갈수 있지만,이 바닥은 다릅니다. 과장 조금 보태자면 놀면서도, 밥먹으면서도, 샤워하면서도 건축에 대한 고민을 하는걸 요구합니다. 아이디어 자체가 안 떠오르면 그냥 답이 없어요. 적성에 안맞으면 이바닥에선 큰일납니다.....어느 정도냐면, 건축 쪽에 애정이 있는 사람한텐 미안한 표현이지만, 정신병 걸릴 것 같은 기분이 매일매일 들겁니다. 관련 업계에 취업해도 일이 상당히 힘들어서, 어지간한 애정이 없는 이상 버티기 어려울 겁니다.탈건이란 말이 괜히 있는게 아닙니다... 이쪽에 확고한 의지, 관심이 있으면 오세요. 마음에 드실겁니다. 다만, 이 분야에 대한 적성이 있는지 없는지 모르겠다? 돌아가세요"
226,1.학교 시설 언덕없음 지하철 가까움 2.아웃풋 솔직히 인풋>아웃풋이긴함 3. 교환 하와이 보내줌 4. 장학금 본인이 찾으면 여러가지로 장학금 길 있음 5. 전과 쉬움
227,솔직히 걱정됨 뭘 먹고 살아야하나 ㅋㅋㅋㅋㅋ 그치만 배우고 싶었던 분야라 배운다
228,단점 1. 교수님들 학벌이 다른학교에 비해 낮음-경원대시절교수님들 생각보다 많이 계심. 2. 주변에 반수나 편입준비하는 친구들이 많음-갑자기 애들 사라짐. 3. 자기 학교를 얘기하거나 자랑하지 않음- 특수학과빼고 학교에 대한 애교심이 없다. 장점 1. 학교에 돈이 많다. 2. 캠퍼스 앞쪽은 시설 좋은데 뒷쪽은 안좋다. 3. 유튜버 잼일이가 있다. 학교가 애매해서 반수나 편입하는 친구들이 많음 그냥 공부 열심히해서 조금 더 높은 대학 가는거 추천
229,교수님들이 못가르치기 때문에 배울게 없음. 수업을 들어도 남는게 없는 강의. 그냥 오지마삼;; 나이 많으신 교수님들이 많고 실제로 아무도 수업 안듣고 독학으로 공부하는 강좌도 있음-충격받음. 학생회아니면 선후배간의 교류도 딱히없고 애들이 공부안해서 학점따긴 쉬움 취업률은 모르겠고 개척해가기 나름인듯
230,
231,
232,"2년 후 새 건물로 이주 예정, 취업지원이나 리크루팅은 잘 오는 편이지만 학생들의 관심이 낮은 듯 하며 하는 사람만 함. 장학금과 별개로 교내 공모전이 매우 많으며 상금도 많은 편.(팀 공모전은 최대 300 만 원, 개인 공모전은 50 만 원 까지도 받음) 그렇게 넓지도, 좁지도 않은 캠퍼스다운 캠퍼스"
233,"경원전문대 시절 교수진이 나갈 때가 되면서 점점 스펙이 좋은 교수님들 유입이 늘어남(퍼듀공대, A&M, 포스텍 박사 등). 반도체 위주의 커리큘럼이 있긴 했으나 19학번 부터 소프트웨어 과목 신설과 함께 시스템 관련 교수 초빙 예정(2021 1학기). 학과 특성상 아웃풋이라기 보다 개인 노력에 족쇄가 되지 않는 정도이므로 노력하는 만큼 가는 편(삼성전자 연구개발직, 한컴 인텔리전스 등). 학과 분위기는 대형과(학번당 100명 정도)이다보니 같은 학번에 누가 있는지도 모르는 경우가 있음. 학생들의 실력편차가 비교적 있는 편이라 조금만 열심히 해도 학점 따기는 어렵지 않은 편."
234,"글로벌캠퍼스라 그런지 시설이 좋다. 예대나 공대는 시설이 안좋다고 하는데 난 심리여서 그런데 별로 안쓰니 뭐... 캠퍼스 내에 있는 다양한 식당도 대부분 맛있고, 특히 올리브영이 있어서 좀 놀랐다. 장학금은 퍼준다는거에 일부 동의한다. 비교과 프로그램이 많아서, 자기가 조금만 신경쓰고 열심히 하면 많이 가져갈 듯 하다. 학교에 군기는 거의 없다. 군기 잡는게 에타에 올라오면 완전히 뒤집어져서, 군기에 대해 어떻게 생각하는지 보인다. 복수 전공은 졸업에 필수 요건이다. 복수 전공, 부전공, 융합 전공, 전공 심화 중 하나를 선택해서 완료해야 졸업이 가능하다. 지잡이냐 아니냐 가끔씩 토론이 열리지만, 내 생각에는 용의 꼬리 정도는 되는 것 같다. 3~4등급 학생들이 많이 생각하고 지원하지만, 그 중에서 뽑히는 사람이 많지 않다고 대개 들었다. 아웃풋이니 뭐니 하는 것은 졸업 후 자기가 하기 나름이라고 생각한다. 그리고 나는 가천대생이라는게 자랑스럽고, 내 학교가 어디냐 물으면 가천대학교라고 자랑스럽게 말할 수 있다."
235,"신설학과여서 뭔가 불안정한 모습이었다. 학기 초에는 단과대 학생회 빼고 아무도 도와주지도 않았었다. 교수님은 좋다. 아직 두 분밖에 없지만...한 분은 아직 만나지도 못했다. 학과 분위기는 개인적으로 단합도가 낮다고 생각한다. 안그래도 신설인데, 코로나로 비대면까지 겹쳤으니 단합도가 올라갈 수 없었다고 생각한다. 또 신설이여서 20학번은 선배가 없고, 똥군기는 커녕 군기를 경험한 적이 없다. 확신할 수는 없지만, 나는 동기들이 똥군기를 잡지 않을 것이라고 생각한다."
236,저는 학교가 굉장히 마음에 들었어요. 학교 걸어다니는 학생들 분위기만 봐도 어떤 학교인지 보인다고 하는데 대부분 깔끔하고 예의바른 학생들이에요. 시설도 좋고요. 다만 예대는 건물이 좋진 않네요.
237,저는 코로나 학번이였는데 교수님들께서 개개인 학생들에게 열정과 애정을 쏟아주시면서 가르쳐주세요! 회화과 선배님들도 유명하신분들 많구요. 가만히 과실에서 그림그릴 수 있는것도 좋고 여러모로 만족스러운 1학년이였습니다. 근데 생각보다 미술을 하려고 하는 학생들만 있는건 아니고요 졸업장 얻으려고 학교 다니는
238,학교 깔끔하고 쾌적함ㅁㅁㅁㅁㅁ~~~~~~~~~~
239,무난하게 무난해요~~~~~~~~~~~~~~~~
240,학교가 생각보다 깔끔하고 좋다 근데 기숙사랑 중도 위치는 좀 아닌듯... ...
241,아직 1학년이라 자세히는 모르겠지만 아직은 만족! 다른 생명관련과랑 고민하다 왔는데 여러방면에서 후회할 것 같지는 않음
242,
243,
244,단점 1. 교수님들 학벌이 다른학교에 비해 낮음-경원대시절교수님들 생각보다 많이 계심. 2. 주변에 반수나 편입준비하는 친구들이 많음-갑자기 애들 사라짐. 3. 자기 학교를 얘기하거나 자랑하지 않음- 특수학과빼고 학교에 대한 애교심이 없다. 장점 1. 학교에 돈이 많다. 2. 캠퍼스 앞쪽은 시설 좋은데 뒷쪽은 안좋다. 3. 유튜버 잼일이가 있다. 학교가 애매해서 반수나 편입하는 친구들이 많음 그냥 공부 열심히해서 조금 더 높은 대학 가는거 추천
245,교수님들이 못가르치기 때문에 배울게 없음. 수업을 들어도 남는게 없는 강의. 그냥 오지마삼;; 나이 많으신 교수님들이 많고 실제로 아무도 수업 안듣고 독학으로 공부하는 강좌도 있음-충격받음. 학생회아니면 선후배간의 교류도 딱히없고 애들이 공부안해서 학점따긴 쉬움 취업률은 모르겠고 개척해가기 나름인듯
246,
247,
248,"2년 후 새 건물로 이주 예정, 취업지원이나 리크루팅은 잘 오는 편이지만 학생들의 관심이 낮은 듯 하며 하는 사람만 함. 장학금과 별개로 교내 공모전이 매우 많으며 상금도 많은 편.(팀 공모전은 최대 300 만 원, 개인 공모전은 50 만 원 까지도 받음) 그렇게 넓지도, 좁지도 않은 캠퍼스다운 캠퍼스"
249,"경원전문대 시절 교수진이 나갈 때가 되면서 점점 스펙이 좋은 교수님들 유입이 늘어남(퍼듀공대, A&M, 포스텍 박사 등). 반도체 위주의 커리큘럼이 있긴 했으나 19학번 부터 소프트웨어 과목 신설과 함께 시스템 관련 교수 초빙 예정(2021 1학기). 학과 특성상 아웃풋이라기 보다 개인 노력에 족쇄가 되지 않는 정도이므로 노력하는 만큼 가는 편(삼성전자 연구개발직, 한컴 인텔리전스 등). 학과 분위기는 대형과(학번당 100명 정도)이다보니 같은 학번에 누가 있는지도 모르는 경우가 있음. 학생들의 실력편차가 비교적 있는 편이라 조금만 열심히 해도 학점 따기는 어렵지 않은 편."
